domain	position
LRR	0.729452054795
NB	0.483304794521
LRR	0.75470890411
ID	0.181934931507
LRR	0.714469178082
LRR	0.673373287671
LRR	0.734589041096
LRR	0.962826333712
LRR	0.829171396141
LRR	0.896424517594
NB	0.430760499432
LRR	0.715380249716
LRR	0.584562996595
CC	0.660612939841
ID	0.0950624290579
CC	0.28036322361
NB	0.156929019797
ID	0.617093191695
ID	0.918638338967
CC	0.365523901497
LRR	0.293095123129
LRR	0.418638338967
CC	0.0212457749879
CC	0.0589087397393
LRR	0.425979680697
LRR	0.628084179971
LRR	0.545718432511
NB	0.236937590711
CC	0.994194484761
ID	0.883164005806
CC	0.0480519480519
ID	0.74025974026
NB	0.378571428571
ID	0.868831168831
NB	0.489291598023
CC	0.303953871499
CC	0.365733113674
LRR	0.780477759473
ID	0.123970345964
NB	0.228712174525
ID	0.895496129486
CC	0.997888810697
LRR	0.424349049965
